"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4626","transferData_privateBackend()","","Mon Sep 01 03:50:20 GMT 2025","passed","Mon Sep 01 03:50:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_privateBackend"
"","69","Policy is accepted Managed Legal Entity BPNL","","Mon Sep 01 03:49:45 GMT 2025","passed","Mon Sep 01 03:49:45 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1277","The authentication token misses required claims: audience","","Mon Sep 01 03:49:25 GMT 2025","passed","Mon Sep 01 03:49:26 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAudience"
"","4066","transferData_privateBackend_withConsumerDataPlane()","","Mon Sep 01 03:51:33 GMT 2025","passed","Mon Sep 01 03:51:37 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_privateBackend_withConsumerDataPlane"
"","141","triggerDataTransfer_shouldFail_whenDataFlowDoesNotExist()","","Mon Sep 01 03:49:30 GMT 2025","passed","Mon Sep 01 03:49:30 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowDoesNotExist"
"","10","verifyCorrectParticipantAgentId_forDsp08(DataspaceProfileContextRegistry)","","Mon Sep 01 03:51:17 GMT 2025","passed","Mon Sep 01 03:51:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyCorrectParticipantAgentId_forDsp08"
"","578","Verify HTTP 403 response when refreshing the token is not allowed","","Mon Sep 01 03:50:38 GMT 2025","passed","Mon Sep 01 03:50:39 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_unauthorized"
"","2183","transferFile_success()","","Mon Sep 01 03:51:27 GMT 2025","passed","Mon Sep 01 03:51:29 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferFile_success"
"","44","Policy is accepted Access policy with empty permission","","Mon Sep 01 03:49:46 GMT 2025","passed","Mon Sep 01 03:49:46 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","55","Policy is accepted Warranty Definition","","Mon Sep 01 03:49:46 GMT 2025","passed","Mon Sep 01 03:49:46 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","10579","azureBlobPush_withoutDestFolder()","","Mon Sep 01 03:49:46 GMT 2025","passed","Mon Sep 01 03:49:57 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","45","Policy is accepted Confidential Information Measures","","Mon Sep 01 03:49:46 GMT 2025","passed","Mon Sep 01 03:49:46 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6722","httpPushDataTransfer()","","Mon Sep 01 03:52:45 GMT 2025","passed","Mon Sep 01 03:52:52 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
"","4362","transferData_successful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon Sep 01 03:52:22 GMT 2025","passed","Mon Sep 01 03:52:26 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_successful_notReturnOriginalSourceResponseCode_withTerminate"
"","2972","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon Sep 01 03:50:29 GMT 2025","passed","Mon Sep 01 03:50:32 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_success_withProxyOriginalResponse_withoutSourceResponseBody"
"","31","Policy is accepted Data Usage End Duration Days","","Mon Sep 01 03:49:47 GMT 2025","passed","Mon Sep 01 03:49:47 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
